2024-07-03 17:11:25,567 INFO    MainThread:2723857 [wandb_setup.py:_flush():76] Current SDK version is 0.16.0
2024-07-03 17:11:25,579 INFO    MainThread:2723857 [wandb_setup.py:_flush():76] Configure stats pid to 2723857
2024-07-03 17:11:25,579 INFO    MainThread:2723857 [wandb_setup.py:_flush():76] Loading settings from /home/ovaheb/.config/wandb/settings
2024-07-03 17:11:25,580 INFO    MainThread:2723857 [wandb_setup.py:_flush():76] Loading settings from /home/ovaheb/code/wandb/settings
2024-07-03 17:11:25,580 INFO    MainThread:2723857 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-03 17:11:25,580 INFO    MainThread:2723857 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-03 17:11:25,580 INFO    MainThread:2723857 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/home/ovaheb/code/train.py', 'program': '/home/ovaheb/code/train.py'}
2024-07-03 17:11:25,580 INFO    MainThread:2723857 [wandb_init.py:_log_setup():524] Logging user logs to /home/ovaheb/code/wandb/offline-run-20240703_171125-rj11w5so/logs/debug.log
2024-07-03 17:11:25,580 INFO    MainThread:2723857 [wandb_init.py:_log_setup():525] Logging internal logs to /home/ovaheb/code/wandb/offline-run-20240703_171125-rj11w5so/logs/debug-internal.log
2024-07-03 17:11:25,580 INFO    MainThread:2723857 [wandb_init.py:init():564] calling init triggers
2024-07-03 17:11:25,580 INFO    MainThread:2723857 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'GPU': 'NVIDIA A100-SXM4-40GB', 'Architecture': 'DnCNN', 'Dataset': 'small_radius', 'Patch Size': 64, 'Supervised': 'N2C', 'Noise Type': 'PG', 'Poisson Settings': 20, 'Gaussian Settings': 50, 'Loss': 'L1', 'Scale': 'noscale', 'Divide by Exposure Time': False, 'Datetime': '2024-07-03-17:11:24', 'Learning Rate': 0.002, 'Number of Channels': 1, 'Batch Size': 256, 'Upsample Mode': None, 'J-Invariant Reconstruction': None, 'Mask Width': None, 'Masking Scheme': None, 'Subtract Background': None, 'EI strength': None, 'Invariance Strength': None, 'EI transforms': None, 'SURE Tau': None, 'SURE Tau2': None, 'Disable clipping': False, 'Fix Learning Rate': False, 'Bias': 0.0, 'Inpainting Method': 'nearest', 'Pretrained weights loaded from': None}
2024-07-03 17:11:25,580 INFO    MainThread:2723857 [wandb_init.py:init():614] starting backend
2024-07-03 17:11:25,580 INFO    MainThread:2723857 [wandb_init.py:init():618] setting up manager
2024-07-03 17:11:25,581 INFO    MainThread:2723857 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-03 17:11:25,586 INFO    MainThread:2723857 [wandb_init.py:init():624] backend started and connected
2024-07-03 17:11:25,588 INFO    MainThread:2723857 [wandb_init.py:init():716] updated telemetry
2024-07-03 17:11:25,609 INFO    MainThread:2723857 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-07-03 17:11:25,612 INFO    MainThread:2723857 [wandb_init.py:init():800] starting run threads in backend
2024-07-03 17:11:25,777 INFO    MainThread:2723857 [wandb_run.py:_console_start():2233] atexit reg
2024-07-03 17:11:25,777 INFO    MainThread:2723857 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-07-03 17:11:25,778 INFO    MainThread:2723857 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-07-03 17:11:25,778 INFO    MainThread:2723857 [wandb_run.py:_redirect():2178] Redirects installed.
2024-07-03 17:11:25,778 INFO    MainThread:2723857 [wandb_init.py:init():841] run started, returning control to user process
2024-07-03 17:20:38,837 WARNING MsgRouterThr:2723857 [router.py:message_loop():77] message_loop has been closed
